"iso3","gpi","Year","pop","area"
"ETH",2.55143843031123,2010,90538.5135,"Sub-Saharan Africa"
"FIN",1.30707036535859,2010,5363.3505,"Europe and North America"
"FRA",1.48700947225981,2010,63417.3625,"Europe and North America"
"GAB",2.49025710419486,2010,1719.879,"Sub-Saharan Africa"
"GBR",1.77144790257104,2010,63006.483,"Europe and North America"
"GEO",3.01328416779432,2010,3895.9245,"Northern Africa and Western Asia"
"GHA",2.08293910690122,2010,25474.9945,"Sub-Saharan Africa"
"GIN",2.8938700947226,2010,10396.086,"Sub-Saharan Africa"
"GMB",2.25679972936401,2010,1926.6295,"Sub-Saharan Africa"
"GNB",2.43058186738836,2010,1566.3465,"Sub-Saharan Africa"
"GNQ",2.16082543978349,2010,1189.085,"Sub-Saharan Africa"
"GRC",2.11133288227334,2010,11124.67,"Europe and North America"
"GTM",2.72008389715832,2010,14500.1125,"Latin America and the Caribbean"
"GUY",2.73848714479026,2010,749.2565,"Latin America and the Caribbean"
"HND",2.79819621109608,2010,8365.87750000001,"Latin America and the Caribbean"
"HRV",1.73755074424899,2010,4301.1455,"Europe and North America"
"HTI",2.42039918809202,2010,9803.294,"Latin America and the Caribbean"
"HUN",1.57307171853857,2010,9979.1285,"Europe and North America"
"IDN",2.13355886332882,2010,246305.322,"South-Eastern Asia"
"IND",2.47735859269283,2010,1243481.564,"Central and Southern Asia"
"IRL",1.48437077131258,2010,4559.08,"Europe and North America"
"IRN",2.83803382949932,2010,77420.8425,"Central and Southern Asia"
"IRQ",3.94234912043302,2010,31045.366,"Northern Africa and Western Asia"
"ISL",1.1728349120433,2010,318.158,"Europe and North America"
"ISR",2.60736535859269,2010,7336.735,"Northern Africa and Western Asia"
"ITA",1.92408660351827,2010,60164.213,"Europe and North America"
"JAM",2.90652909336942,2010,2748.5675,"Latin America and the Caribbean"
"JOR",2.23183355886333,2010,7297.0435,"Northern Africa and Western Asia"
"JPN",1.23450608930988,2010,128185.275,"Eastern Asia"
"KAZ",2.67506765899865,2010,16836.8105,"Central and Southern Asia"
"KEN",2.85528281461434,2010,41598.5665,"Sub-Saharan Africa"
"KGZ",2.44553450608931,2010,5491.7605,"Central and Southern Asia"
"KHM",2.51698240866035,2010,14500.726,"South-Eastern Asia"
"KOR",1.60412719891746,2010,48769.3325,"Eastern Asia"
"KWT",1.62330852503383,2010,2943.3715,"Northern Africa and Western Asia"
"LAO",1.92706359945873,2010,6334.194,"South-Eastern Asia"
"LBN",2.36429905277402,2010,5041.288,"Northern Africa and Western Asia"
"LBR",2.29445196211096,2010,4058.89,"Sub-Saharan Africa"
